channel_name,title,views,upload_date,video_link
CNN,Blitzer asks former Justice Stephen Breyer about John Roberts' rebuke of Trump,162526,2025-03-19T19:30:00Z,https://www.youtube.com/watch?v=0kAGm_66KZY
CNN,He's humiliating Trump': Browder on Putin's negotiations with Trump,158132,2025-03-19T18:18:43Z,https://www.youtube.com/watch?v=CTa0J8CldJY
CNN,Audience boos congressman over his explanation for health research cuts,347128,2025-03-19T17:37:19Z,https://www.youtube.com/watch?v=wDz2byehquc
CNN,See President Trump's response to Justice Roberts' rebuke,269119,2025-03-19T16:35:33Z,https://www.youtube.com/watch?v=kyLG9mtVpJE
CNN,FBI investigating Tesla vehicles shot and set on fire,144379,2025-03-19T14:15:44Z,https://www.youtube.com/watch?v=jPv2TBT5pUE
CNN,Ain't gonna to happen': Bernie Sanders on Trump's suggestion about federal judge,951602,2025-03-19T13:29:09Z,https://www.youtube.com/watch?v=EEI1olGL6Pk
CNN,John Roberts has enabled Trump. Now he hopes to restrain him,113448,2025-03-19T12:44:01Z,https://www.youtube.com/watch?v=gGY_tlF2jpU
CNN,Journalist on Russia's 'wanted list' breaks down Putin's message to Trump,277751,2025-03-19T12:00:51Z,https://www.youtube.com/watch?v=KCjHoLOL_hw
CNN,Anger boils over at GOP town hall,199024,2025-03-19T04:37:47Z,https://www.youtube.com/watch?v=fjfg6ZY4Pvg
CNN,Tesla dealership engulfed in flames,375591,2025-03-18T23:53:45Z,https://www.youtube.com/watch?v=wWlOQ278HN0
CNN,Angry voters confront GOP lawmaker at town hall in Washington,1353132,2025-03-18T18:18:40Z,https://www.youtube.com/watch?v=ZPWdj0qOr8A
CNN,Ex-DOJ pardon attorney reacts to Trump's desire to 'void' pardons,153444,2025-03-18T17:40:09Z,https://www.youtube.com/watch?v=FLNYHuYiXfQ
CNN,Chief Justice John Roberts rebukes Trump rhetoric on federal judge,954549,2025-03-18T16:54:38Z,https://www.youtube.com/watch?v=LkKdasyGSEI
CNN,Missing college student on newly released surveillance video from hotel bar,358371,2025-03-18T14:48:48Z,https://www.youtube.com/watch?v=ZvIq0YSzw7w
CNN,Canada's Carney sends a message to Trump,1991595,2025-03-18T13:48:47Z,https://www.youtube.com/watch?v=dJawK3FNKSU
CNN,Voters confront GOP lawmaker over Trump's moves at tense town hall,109244,2025-03-18T13:22:33Z,https://www.youtube.com/watch?v=2VVEUhwaoPQ
CNN,Judge scolds Trump admin. in tense hearing over deportation orders,335191,2025-03-18T13:02:03Z,https://www.youtube.com/watch?v=XzZdB9OqpXE
CNN,"'Don't try me today, Scotty': Cari Champion & Scott Jennings debate new poll",254221,2025-03-18T11:00:07Z,https://www.youtube.com/watch?v=2wKL2vL1DtQ
CNN,Hear what Kinzinger thinks about Trump calling his pardon void,561596,2025-03-18T00:21:43Z,https://www.youtube.com/watch?v=6WeOW1f87eQ
CNN,Fareed on Trump admin's war on colleges',110467,2025-03-17T22:53:50Z,https://www.youtube.com/watch?v=FxLYAaGtPh8
CNN,Kasie Hunt presses Stephen Miller about whether White House ignored judge's deportation order,279607,2025-03-17T21:54:55Z,https://www.youtube.com/watch?v=aDhy3gYfQXw
CNN,White House defends deportation flight despite judge order,421781,2025-03-17T19:54:39Z,https://www.youtube.com/watch?v=edRqKs1-IZI
CNN,Did Trump defy a court order? Hear what Elie Honig thinks,100930,2025-03-17T18:27:32Z,https://www.youtube.com/watch?v=-RZNON8UgYU
CNN,Trump and Putin to hold call on Ukraine,100876,2025-03-17T17:25:28Z,https://www.youtube.com/watch?v=N3ZEx6ivWvs
CNN,Stop this nonsense': Toronto's mayor on Trump's trade war,206534,2025-03-17T15:56:45Z,https://www.youtube.com/watch?v=ImTQPSwFTU0
CNN,Hear legal expert react to Trump's declaration about Biden's pardons,920186,2025-03-17T15:07:02Z,https://www.youtube.com/watch?v=9VCd9LO56Nc
CNN,Reporter asks Trump if he defied judge's court order,353779,2025-03-17T13:22:21Z,https://www.youtube.com/watch?v=amUgI1dJoaw
CNN,Retired general reacts to US strikes on Iran-backed Houthis,329254,2025-03-17T12:19:47Z,https://www.youtube.com/watch?v=3c-z5KsiqEY
CNN,Jasmine Crockett reacts to CNN poll showing Democrats' favorability at an all-time low,581759,2025-03-17T11:37:53Z,https://www.youtube.com/watch?v=8WjR_yqJh1c
CNN,Protesters gather outside Tesla showroom,608212,2025-03-16T23:37:47Z,https://www.youtube.com/watch?v=yH6hXJtziJA
CNN,Fareed's Take: Trump administration's 'war on colleges',658413,2025-03-16T17:00:47Z,https://www.youtube.com/watch?v=e7Y1g6QaIJU
CNN,How Trump has redecorated the Oval Office,129622,2025-03-16T15:15:35Z,https://www.youtube.com/watch?v=Ei-AxQtwVEs
CNN,Adam Kinzinger on Newsom having Bannon on podcast: 'This is nuts',132625,2025-03-15T14:50:01Z,https://www.youtube.com/watch?v=w6wA2Dqnn60
CNN,Toure: I am thinking about leaving the Democratic Party,204250,2025-03-15T12:00:38Z,https://www.youtube.com/watch?v=QsULZuwoMG4
CNN,New Video of ICE's arrest of campus protest activist Mahmoud Khalil,133732,2025-03-15T11:00:23Z,https://www.youtube.com/watch?v=JKyCNo1LEPw
CNN,Anderson Cooper: Trump took a victory lap at Department of Justice,169565,2025-03-15T01:58:43Z,https://www.youtube.com/watch?v=Oy9Onz9T8YQ
CNN,'It's very scary': People who voted for Trump in 2024 react to his early moves,609545,2025-03-14T20:30:04Z,https://www.youtube.com/watch?v=XvFL8iXqnI4
CNN,Hear what Canada's new prime minister said about Trump after being sworn in,2104817,2025-03-14T19:19:46Z,https://www.youtube.com/watch?v=Zs9NLI0Zdzg
CNN,Expert explains why plane passengers had to walk on plane's wing,255362,2025-03-14T18:13:59Z,https://www.youtube.com/watch?v=oEebmfGDoOw
CNN,Hear ex-Treasury secretary's prediction if Trump doesn't change course,880897,2025-03-14T17:26:02Z,https://www.youtube.com/watch?v=SyCmPbDPKNU
CNN,Trump admin. Requests military options' for access to Panama Canal,452801,2025-03-14T16:13:36Z,https://www.youtube.com/watch?v=NPmYRN8l4wY
CNN,"Adam Kinzinger: If your representative ducks town halls, demand one",246709,2025-03-14T15:00:08Z,https://www.youtube.com/watch?v=34FjvbwEC2c
CNN,Toronto Mike' says Trump's words have realigned Canadian politics,336359,2025-03-14T14:12:29Z,https://www.youtube.com/watch?v=FKzR6nVJ7-k
CNN,Man escapes alleged 20 years of captivity using hand sanitizer and printer paper,1532198,2025-03-14T13:03:00Z,https://www.youtube.com/watch?v=XvG5jKCaD80
CNN,AOC breaks with Schumer on GOP government funding bill,515721,2025-03-14T12:17:13Z,https://www.youtube.com/watch?v=3nLnFWBcHTg
CNN,Crowd boos JD Vance at Kennedy Center concert,142078,2025-03-14T11:40:17Z,https://www.youtube.com/watch?v=KE6S-hYLnPg
CNN,American Airlines plane engine catches fire at Denver airport,443219,2025-03-14T11:36:01Z,https://www.youtube.com/watch?v=rzh_fHqoC6M
CNN,Audience applauds man identifying as a veteran after confronting lawmaker at town hall,559977,2025-03-14T10:00:18Z,https://www.youtube.com/watch?v=7GWtbo94arY
CNN,How Trump's EPA cuts hit blue and red states alike,103266,2025-03-14T03:55:49Z,https://www.youtube.com/watch?v=B_Cjrg-WI-Y
CNN,Tesla employee: Tariffs bad for business,671287,2025-03-14T03:15:47Z,https://www.youtube.com/watch?v=VbfhKwSsTaI
CNN,Protesters gather inside Trump Tower,348833,2025-03-13T19:58:12Z,https://www.youtube.com/watch?v=-VjSKQYo-LU
CNN,Jewish protesters arrested after storming Trump Tower,392442,2025-03-13T18:31:47Z,https://www.youtube.com/watch?v=A7CY0cbwgDs
CNN,Watch Putin's remarks about possible ceasefire deal with Ukraine,397744,2025-03-13T17:42:30Z,https://www.youtube.com/watch?v=V0gSZ6_Vg8g
CNN,'We are going to regret this': Doctor issues stark warning about Musk's cuts,418638,2025-03-13T16:30:26Z,https://www.youtube.com/watch?v=osJ5uo_GRQI
CNN,White House withdraws nomination of Dr. Dave Weldon to lead CDC just before confirmation hearing,135598,2025-03-13T15:47:11Z,https://www.youtube.com/watch?v=WLRbucJ0VK4
CNN,'Where is Elon Musk?': Democratic rep. calls out House committee,904578,2025-03-13T15:30:00Z,https://www.youtube.com/watch?v=MzKjrRx-gbU
CNN,Canadians are angry': Former top Canadian official on fallout from Trump's tariffs,949316,2025-03-13T14:57:32Z,https://www.youtube.com/watch?v=uEK01tSWAQA
CNN,Trump threatens 200% tariff on European alcohol as trade war escalates,465214,2025-03-13T14:09:35Z,https://www.youtube.com/watch?v=IagBmsXjlCU
CNN,Democratic Rep. Larson yells at GOP colleagues as Musk's testimony gets blocked,328763,2025-03-13T12:52:27Z,https://www.youtube.com/watch?v=INvMI6H58Aw
CNN,GOP senator makes an admission about Trump's tariffs,303929,2025-03-13T11:55:39Z,https://www.youtube.com/watch?v=n5tuzzmPEk8
CNN,Economic Expert: China is laughing all the way to the bank on Trump's tariff policy,228826,2025-03-13T11:19:47Z,https://www.youtube.com/watch?v=AD-cr7y4itc
CNN,Canada's Carney discusses conditions for Trump talks,432427,2025-03-12T18:29:15Z,https://www.youtube.com/watch?v=pg1M2nYXtfs
CNN,Canadian officials announce over $20 billion in retaliatory tariffs on US goods,1360612,2025-03-12T15:44:33Z,https://www.youtube.com/watch?v=bbdy_rYg5O8
CNN,DOJ attorney says she was fired after refusing to restore Mel Gibson's gun rights,101119,2025-03-12T14:56:54Z,https://www.youtube.com/watch?v=A0u0GgcGnRw
CNN,New CNN poll shows what Americans think about Trump's handling of the economy,577728,2025-03-12T13:46:43Z,https://www.youtube.com/watch?v=93oGb1lxcfQ
CNN,Trump imposes sweeping 25% steel and aluminum tariffs. Europe immediately retaliates,600212,2025-03-12T12:58:16Z,https://www.youtube.com/watch?v=TqZzTcdCnqc
CNN,Her job is promoting government efficiency. She's been shooting influencer videos at work,531282,2025-03-12T12:21:44Z,https://www.youtube.com/watch?v=hRBPRFP-CyI
CNN,Senator shares what GOP did after Musk called him 'traitor',1269929,2025-03-12T11:37:28Z,https://www.youtube.com/watch?v=YTWsXB1hB80
CNN,Anderson Cooper: Trump and Musk turned White House lawn into Tesla showroom',629752,2025-03-12T10:29:43Z,https://www.youtube.com/watch?v=zAFZaXPXbgE
CNN,Bakari Sellers: 'The market lost its ass and it's Donald Trump's fault',233036,2025-03-12T10:00:51Z,https://www.youtube.com/watch?v=h-ENkDG3zR4
CNN,Anderson Cooper reacts to makeshift 'Tesla showroom' at White House,126446,2025-03-12T02:43:18Z,https://www.youtube.com/watch?v=lpEMUxYsjAk
CNN,Surveillance video shows missing US student leaving Punta Cana hotel,324816,2025-03-11T22:33:04Z,https://www.youtube.com/watch?v=cAy3u0wVE6E
CNN,Ukraine agrees to proposal for 30-day ceasefire,165531,2025-03-11T19:23:58Z,https://www.youtube.com/watch?v=kiK0Hs-84Gc
CNN,'Absolute chaos created by one person': Ford pushes back after Trump's tariff threat,1909560,2025-03-11T18:43:14Z,https://www.youtube.com/watch?v=rO5A6pg1XXo
CNN,Image shows last known sighting of missing college student,167156,2025-03-11T17:56:29Z,https://www.youtube.com/watch?v=FXvF_cfGsPQ
CNN,Crockett reacts to Johnson blaming Democrats for potential government shutdown,843832,2025-03-11T17:08:48Z,https://www.youtube.com/watch?v=_KyZ-11zTxY
CNN,Former Philippine President Duterte forced onto plane to The Hague after ICC arrest,712356,2025-03-11T16:30:20Z,https://www.youtube.com/watch?v=ggdmEpZpyR4
CNN,Trump threatens dramatic increase on tariffs to Canada,1333217,2025-03-11T15:48:44Z,https://www.youtube.com/watch?v=NM90yJMVxp4
CNN,Bernie Sanders responds to Musk's controversial remark about entitlements,2000797,2025-03-11T14:07:33Z,https://www.youtube.com/watch?v=x56_ABWJawE
CNN,Canadian couple cancels tens of thousands in travel to the US,293416,2025-03-11T13:19:06Z,https://www.youtube.com/watch?v=FZzRoFnRmyk
CNN,Anderson Cooper on chilling message' Trump is sending to law firms,620271,2025-03-11T12:32:03Z,https://www.youtube.com/watch?v=k6BRO65gl94
CNN,Moscow hit by massive' Ukrainian drone attack,742882,2025-03-11T11:45:28Z,https://www.youtube.com/watch?v=a0nfBJm8qAA
