channel_name,title,views,upload_date,video_link
Fox News,Gutfeld: Dems' envy replaced any of their masculinity,107334,2025-03-20T04:00:08Z,https://www.youtube.com/watch?v=EiZlKAjPwmw
Fox News,Trump shows off the coke button on his desk in the oval office,114933,2025-03-20T01:56:53Z,https://www.youtube.com/watch?v=NxtDiJih1ag
Fox News,Trump makes prediction that will drive the Left 'crazy',431167,2025-03-20T00:45:06Z,https://www.youtube.com/watch?v=mgwurXZ1K3o
Fox News,NO RIGHT: AG Bondi slams federal judge for halting deportations,534713,2025-03-19T23:15:02Z,https://www.youtube.com/watch?v=E5pIgzEyzoA
Fox News,'The Five': Democrats root for Tesla's demise,267546,2025-03-19T22:30:01Z,https://www.youtube.com/watch?v=3F6KEKT6D7M
Fox News,AG Bondi puts groups attacking teslas on notice with blunt warning,117009,2025-03-19T22:07:19Z,https://www.youtube.com/watch?v=9HkFlPPTpzM
Fox News,Trump aide goes OFF on judges: This madness will end,255715,2025-03-19T21:15:00Z,https://www.youtube.com/watch?v=VNCDZCUb5j4
Fox News,Elon Musk shocked as leftists ramp up Tesla attacks,160418,2025-03-19T20:30:02Z,https://www.youtube.com/watch?v=CxaxroOz5pQ
Fox News,Karoline Leavitt takes on Tim Walz over Tesla jab,117041,2025-03-19T19:07:44Z,https://www.youtube.com/watch?v=5GAZWFMepX4
Fox News,Shocking anti-Israel protest 'manual' shows extent of organization,121843,2025-03-19T19:00:34Z,https://www.youtube.com/watch?v=bw8B_uRn3-Q
Fox News,Kayleigh McEnany: 'What world do these people live in?!',112955,2025-03-19T18:15:00Z,https://www.youtube.com/watch?v=-VPuxTuCsK4
Fox News,Karoline Leavitt takes questions as legal battle intensifies over deportations,383942,2025-03-19T18:04:16Z,https://www.youtube.com/watch?v=nL9bWCGU938
Fox News,'YOU CAVED': Schumer faces wrath of 'The View',121771,2025-03-19T16:45:01Z,https://www.youtube.com/watch?v=ajzjpSCdA4w
Fox News,'LAWFARE': Trump hit with wave of injunctions blocking orders,361538,2025-03-19T16:00:11Z,https://www.youtube.com/watch?v=9unTtiWRyNQ
Fox News,Dana Perino: This is going to crush the Democrats,555555,2025-03-19T14:30:15Z,https://www.youtube.com/watch?v=QqEEp2I3pmM
Fox News,"FULL INTERVIEW: Trump reveals Canada 'end game,' sounds off on 'rogue' judges",1206024,2025-03-19T13:30:06Z,https://www.youtube.com/watch?v=sDu9mDjXfqs
Fox News,Trump reveals the Declaration of Independence is now hanging in the Oval Office,184439,2025-03-19T12:56:10Z,https://www.youtube.com/watch?v=Ywpv0RiwbO8
Fox News,Zelenskyy responds to Trump-Putin announcement on limited ceasefire,153140,2025-03-19T12:45:04Z,https://www.youtube.com/watch?v=WgNRu1uWZw4
Fox News,Judge could face impeachment after blocking Trump's deportation flights,251598,2025-03-19T12:01:30Z,https://www.youtube.com/watch?v=yUuq0kuciY0
Fox News,Elon Musk sets record straight on SpaceX rescue mission,1843075,2025-03-19T11:15:07Z,https://www.youtube.com/watch?v=veOnjYKuZgk
Fox News,Trump reveals his 'end game' in dealing with Canada,628162,2025-03-19T09:45:02Z,https://www.youtube.com/watch?v=JMQm8JCn1Vs
Fox News,'SUCH A FRAUD': DeSantis torches legacy media's coverage of Trump deportations,102170,2025-03-19T09:01:16Z,https://www.youtube.com/watch?v=z06e9r7Mizg
Fox News,"Fox News Highlights - March 18, 2025",138907,2025-03-19T08:30:01Z,https://www.youtube.com/watch?v=41Q_7O8gDVI
Fox News,"NO DOUBT ABOUT IT: Elon Musk saved US space program, ex-astronaut says",132313,2025-03-19T08:00:38Z,https://www.youtube.com/watch?v=dNho-99psAw
Fox News,Inside mega-prison housing gang members deported by Trump,127399,2025-03-19T07:15:01Z,https://www.youtube.com/watch?v=D0a0Sbn7YUY
Fox News,'PARTY OF PITCHFORKS': Dems revolt after Schumer's vote,114130,2025-03-19T05:00:00Z,https://www.youtube.com/watch?v=aAkRDmUyJ5w
Fox News,'Gutfeld!': Welcome Butch and Suni to the Gulf of America!,110129,2025-03-19T04:15:02Z,https://www.youtube.com/watch?v=dDL1XNJsaQE
Fox News,'HOW MANY PEOPLE HAVE A ROCKET?': Trump praises Elon's SpaceX rescue,208706,2025-03-19T03:45:00Z,https://www.youtube.com/watch?v=3Kz8n7HrzQk
Fox News,HIGH-STAKES CALL: Hear the details from Trump-Putin phone call as Zelenskyy weighs in,200211,2025-03-19T03:15:04Z,https://www.youtube.com/watch?v=n_lDgePnj2c
Fox News,Gutfeld: Dems are their own popularity problem,633334,2025-03-19T02:45:00Z,https://www.youtube.com/watch?v=93ibSFGncu0
Fox News,Musk addresses Tesla being targeted for alignment with Trump,146163,2025-03-19T02:27:14Z,https://www.youtube.com/watch?v=BhSC4i9p1XY
Fox News,Elon Musk sets the record straight on plan to bring stranded astronauts home,508136,2025-03-19T02:21:28Z,https://www.youtube.com/watch?v=jOseBQnE8i0
Fox News,Elon Musk laments 'deranged' Democrats' attacks on Tesla plants,2128899,2025-03-19T02:15:06Z,https://www.youtube.com/watch?v=03-FBV1T1Lc
Fox News,Sean Hannity: Democrats hate Elon Musk more than ever,112979,2025-03-19T01:45:02Z,https://www.youtube.com/watch?v=K6CLI8WOmVs
Fox News,WATCH: NASAs SpaceX Crew-9 returns to Earth from the International Space Station,668812,2025-03-19T00:47:54Z,https://www.youtube.com/watch?v=CgRaN2nUjMI
Fox News,NO ASTRONAUT LEFT BEHIND: SpaceX rescue mission a unifying moment for the country,444417,2025-03-19T00:30:32Z,https://www.youtube.com/watch?v=k8_H_hmAkHc
Fox News,Trump says rescued astronauts will visit the Oval Office,169295,2025-03-19T00:21:22Z,https://www.youtube.com/watch?v=pbh1G5K-JEo
Fox News,'STUDENT OF HISTORY': Trump 'knows' what happens when Russia and China get together,781766,2025-03-18T23:30:05Z,https://www.youtube.com/watch?v=IXoAgWaCOQs
Fox News,WATCH: Astronauts exit SpaceX Dragon Capsule after return to Earth,1274857,2025-03-18T22:59:02Z,https://www.youtube.com/watch?v=NjJO04bxcAU
Fox News,WATCH: Stranded astronauts splashdown in Gulf of America,102374,2025-03-18T22:41:56Z,https://www.youtube.com/watch?v=9AslmKtsd8w
Fox News,"Putin is 'haphazardly' moving into first Ukraine ceasefire, says senior correspondent",119939,2025-03-18T22:00:11Z,https://www.youtube.com/watch?v=8kOPt1lCssY
Fox News,Karoline Leavitt claps back at French politician over Statue of Liberty: 'NAILED it',110307,2025-03-18T21:30:06Z,https://www.youtube.com/watch?v=cBXVaQckxQ4
Fox News,CNN just got a civics lesson: McEnany,583641,2025-03-18T20:00:37Z,https://www.youtube.com/watch?v=wQPtDHTx25g
Fox News,"BREAKING: Trump, Putin agree to begin ceasefire negotiations immediately",294379,2025-03-18T19:15:01Z,https://www.youtube.com/watch?v=P03Pv6w3lhc
Fox News,BREAKING: Israel takes out Hamas' head of government,419939,2025-03-18T18:30:49Z,https://www.youtube.com/watch?v=lUhV1njVyH0
Fox News,'HEIGHT OF PRIVILEGE': Elite university faces federal probe for alleged retaliation,111588,2025-03-18T17:45:00Z,https://www.youtube.com/watch?v=08vKk1QIcko
Fox News,Trump admin DENIES re-entry to deported professor who attended terrorist's funeral,1497865,2025-03-18T16:15:06Z,https://www.youtube.com/watch?v=nNAkY91iTaE
Fox News,'INCREDIBLY DIRE': War resumes in Gaza as Hamas refuses to release hostages,328837,2025-03-18T15:30:30Z,https://www.youtube.com/watch?v=hC-2QvWkicU
Fox News,'BIG STORY': Trump reacts to getting hit by a boom mic,375580,2025-03-18T14:45:05Z,https://www.youtube.com/watch?v=sP6SNVDmMFg
Fox News,Trump revokes Secret Security extension for Hunter Biden,211093,2025-03-18T14:01:17Z,https://www.youtube.com/watch?v=EU89i39tRnY
Fox News,Professor deported after attending Hezbollah terrorist's funeral,216547,2025-03-18T13:15:05Z,https://www.youtube.com/watch?v=loBYad-XRyk
Fox News,Israel-Hamas ceasefire ends as Trump holds high-stakes call with Putin,482813,2025-03-18T12:30:26Z,https://www.youtube.com/watch?v=I50S4oyZVIw
Fox News,Gutfeld!: Trump trolls Biden once again,245619,2025-03-18T12:00:56Z,https://www.youtube.com/watch?v=ZyvhTHlQnw8
Fox News,"Biden insider allegedly received $2 million in payments, Federal Housing director reveals",729268,2025-03-18T11:30:26Z,https://www.youtube.com/watch?v=kbXsror3XgI
Fox News,Stranded NASA astronauts finally earthbound thanks to SpaceX,100228,2025-03-18T11:08:27Z,https://www.youtube.com/watch?v=5I6nGJdClI0
Fox News,Judge demands answers from Trump admin on deportation flights,392484,2025-03-18T11:00:00Z,https://www.youtube.com/watch?v=-rbHEr5ggVg
