condition_id,period
0x3648ab7c146a9a85957e07c1d43a82272be71fde767822fd425e10ba0d6c0757,552
0x768603866bc5ce73836ccae47d72ee47cdd605d41320d3894ca41412f784d775,554
0x4d40e1d7849ae33e49a0fc4a18b45169e4456b684b0d584b4cc582a9fc4b7ac0,126
0x41190eb9336ae73949c04f4900f9865092e69a57cf9c942a6157abf6ae8d16c6,607
0xc03f3229164b28670a7a50439bfb5dd2bed2c50de508bc2ae0391d37b48d1810,305
0x311198b7194c8eb1890df4d3a2e5171a313066bba76b0bdb431af757eeaf4e51,553
0x6898b869f0bb1f31d309897956fab3437a7e82408cb91d4bfc888dbf52e259a8,554
0xd93cb2d70e5e00e804ff2115f59aaed64cffe4af275264e9a629e1e4ad3dab80,554
0x12a0cb60174abc437bf1178367c72d11f069e1a3add20b148fb0ab4279b772b2,579
0x7e912d337aec54d321a4d415bd05e5a6676c3f04617f07def1281be7e0af3e91,553
0xb03b50581d3ed24f8d40c3bc3ca235fc82ba86eaafc2aed2a9fb85a47402a96c,554
0x65805e37d6c891808a44064013a0c80babf87010fe6e69204b17381fd0761fdd,552
0x49c2bb91bcb33296f486c92a553c2fca81cfe79f4e9ba00cca68b5ca274e914f,553
0xf3b7a1ffbb8cf0f8b5c392bc8615e5d7d28781bbc2a2d1630041ed5a4bb2aa73,553
0x757fe19cced3f2136ef1dc0e0163b9996a68a330a8d2338835e3b81a31fcac91,507
0x0f8087a333699c182f5cfb20fe7e59d08fd8405cf98b436cdc99c2dbdd3d412f,199
0x88263253ded7e012b2d20f1df436ded2728b20e774f5cdd47201cf7cc208202b,82
0xdaccdba23670d39feba6182d2e77c3a676dbb755f58fad6a3d958a32954dab86,398
0xcc8129a275417b0df7e73e5cb6ad066861b949fbed3575195bf6ef0c44dfd663,408
0x730f58e9931f09fc067522f1ac6aca1eceeae997882207ba2bbd872af79c236f,169
0x1f5e91cec5de2c58c8b51e5830819bbed6c0978dc05b964e4f432d7744977d2a,126
0x9f790cba904c6df64af943a64e9950884dc8e5d8ee8ca31299fae8acec6fca30,264
0xf9158852b2e253f40ffa0f77727ba6a765f3ebaaba350a7319b0399bbcbf4034,110
0x534f9204adcccc3372d2cbd94faa4f48501dec7f77f98a8dd5235f268d923763,88
0x718f5c9d1d25ddc8dd1eaf401c87bf3dbd18c94d3920bdd014f787e6a5344865,27
0x870a4ded505f5f8e4e6a4ef3e4c59cace79e634352bce99ff0855ecbb83200fa,103
0xeede80dece220f30638955c385ef715240f6a41d24fc687ada1605527a83a11c,95
0x6d617a838210e0710a2a946814d1f26ed6bd3ffb76d0ef49959e0d2f75556944,305
0x664886144f47a74f32ec1e030345d25b3865ecd0c39427dac77490e2cbe196c9,6
0x60c1c5ead06c34d9ea9d35b093822e63cffef453e878301cdf01d8f05dda6510,75
0xf4fcf99bb9e9d20406efb081c8ba004c00a4f27d5f6a73c0e7d0b7da22916782,13
0x2a73336e8c3ef5370ec96357f575fdbf5e2a457f012a04cad85da6ab07b2f8dc,184
0xfd6bafc2a62c6ba0f7ff215582b3f47e7136654398bb01b1062a9f2ff58ce907,72
0x73ac4c1e5be0a89685328c9f5b833d828ffd62dfa07ceaf8536edbc43aa5f51e,304
0x21dacbae08cd922e9fe1e5f3a4b2ea09820d36f2ed368d6b53683b0fc1f16fe1,305
0x230144e34a84dfd0ebdc6de7fde37780e28154f6f84dd8880c7f0e58d302d448,305
0x7703a1a7d3834391fe4121aa80c562bff05c9f4476ac59002b746b10e0a1050e,184
0x830fe8eb8ab09693af821fba6d1d2c5369a696715c029b978e06df41cc614390,6
0x07ca3646cc01db03efeb1d445e98d9a9ceb483aebe8b16b058daeb203dca5f89,17
0x72302e55870853118f30b009d046a0b6d0c1b7428d2bdef7700a4f6131f78a1d,11
0xad6d309aaa500d96855996e84da00dfb2379548a693ca684d0877cf94fec05d1,305
0xf3a7a2365b6ec113117184bb2d1b020577355a1028fde0b32671c4cfbbbbd589,306
0x37658cacdccbb4d2d6dd4cae8cfd43b268e695aab51973a70be339f1b90d9a94,301
0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,306
0x5f7a463b833d0217f7bd73222d2d9597b4d49346d1d302dc44edaeae01c080c3,17
0xdbec3f23bf64bc5fa02459705e581389a375530d27b8856651a6a73dce3c5982,6
0xee1367a69510ba9b96b5a7834b27627c05f66a2373238b2aa26447318ae04e30,6
0xb80a8a4ecb9344bfe81bb620638fa2882b5f57663bbe268c4bb2b97ece7717b9,305
0x166ad5a3914c4dfaf4e8eb851f167c04797f2abbb3427ddf688c363d1c68fe6e,11
0xb26fd99a7b7bae4e13c9bb3becf65353708a805f9c1aea74484d107e6ba512cd,306
0xd35c80d2f97f129c9297139425e0e19fc8ce596af45a68cb5fde2ec9309d5392,184
0x5a11158a698503575c01d84688a97b158df5889af0b8890c8944f7a16358e9b2,70
0xe5d5792995784f034f1c5a73e1885127ac7242186c23ad7883ca630a312615a7,5
0x215625b9e962f3f499f832c77dd4caa400bd8435369b5fd65e8673c8b2c4da66,306
0xf6106065ec5d5dae7eca350be64e5246ae331b35937ea55b64152f65fbc0b37f,304
0x14018049e265a2d88f284be9588e2e3542e3a3df08ccdb344d28355dd7fdd8ef,305
0xf1403b0b84b9dfdaa5f5aafc89773e8437bdb7ee0897dbb6beb2cb8d25f61804,17
0xc0f7d532a2029154cbb76f64de469b3724961d2fe7c577b8263f09c80ed36d76,17
0x92496a8b979d75c1faaaaddf5b9a3a695101cd61a648ccd8220fdd7623e95125,77
0x59d7ec34e4f9ef67350a97363baeaee60bd7979091cc166420b08a17e38aa43f,184
0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,305
0x3f860955f69ee121da47c2840509ada04b6776b95a1219335efa5dcffbac0815,5
0xd8f72016370aba96d815f86f27d242e30115589ca69a1cb8c9f19148234cbe7a,5
0x5605bc5d7557217f5ebb00d00f639ac8b9da949016b8cabcd7e9183ea1cac060,304
0xd1cce1f51effdf3957144fdc87b5e8aace1d1f7ab21976a046b71744ecad8443,304
0xd35200db747488aff7648d5a85e22c6975e8e6dcc9867241fe90940fb05cb098,70
0x4dd13b533072528934eefd9aa816fcc97253e7cd1d4f40c12769fd7f52c3e0fa,5
0x729832336b1344aab2531ba0bfb192a674fce114004eb020d5bc3cd9bfcb40d3,6
0x198d833c085ed0c858165192e9fd446c5392dbcdedd1132d89c578c0b5c29b2f,305
0xced9f9d90c94db9f1e1dbd7d9fba82fe4fa7431c0d4e91e28896c8ac2d6acadd,305
0x3120827dc12167d09fd9f08233e2b540054a2ed90aad65c023bc1da9d38b29d9,304
0x4372614786010b9b7fb52cffa0bdc1359ea81c7cbc75c5bbc619c68326692b37,184
0xfa45365e7a6a93f27d4fd7421de6d086a558d6e0590a8b67873c65d322ab9be3,13
0x9d7ca1d7a143821608dc80cb41e6f01855bed9508c85cf9d9e49937bd04abb9f,66
0xa9e204946babab23bfca5d712c4c8db9d7dc444dbe7ab6749c5bd15a7a6e2129,6
0x4ddf0aa07f795ceb93ed0968ed5508eccf57bf0e7b1b79c204fa71be03a14690,6
0x534da3946b8da84a8687e346e735fcc1d7c7078c057b1a7769cb9991b3e67968,306
0x08f5fe8d0d29c08a96f0bc3dfb52f50e0caf470d94d133d95d38fa6c847e0925,304
0x70ce4eceb48d4134a9b55482cb92215b69350ad6453359708cb384d18bdbb21b,13
0xf75076205d589c02ac13263b0d59041563695a7518d65134f8eb8c61dda22262,306
0x3b0aa8cf94d772ef1fb1dab5e094ac39842735ef01bbbf285ac5fea1377dbe84,17
0x34b8fa269775d034f3d98b6848e0a7c5212efcaa0c98e6f8fb54c5d6f72b3705,305
0x696baf880832d000a37ea87cc94235b1ac58e7e9fe7a144ccf5d141877629134,305
0x8f41b19c9df3d15bbc3343c2c5eb9281ad8f60828cb2253f52104aaceebb40d7,6
0x58d2848a45ca2b338634b620eaac3da353c92e65018aa9f182da5e11511b3a8c,70
0xf488aacaba74914fe181c68d8b6195e13c4ec8b6c1b215c299d297666297200e,306
0x0c12d7b5322f432a0c4ac8806b476c7483c4d44061ca1188b6f749ec9db34996,306
0x037c9d29c04a2f6a5373ae7db7779cb40a751ca372de1e55999397a8f571c67e,306
0x41d097dd0404f9ced7bbedbe09aa06e961ac339350a67cc7a563826e2f8a9010,41
0x7da35195ac3c7bf167f88ab0c27067a99020e36de67d39968b71d9debcdd925e,305
0xeb7ee36692138a51e9acea81abe0cb5b54226cd1d0ef0acbb99dc0d79185fd8e,33
0xc6485bb7ea46d7bb89beb9c91e7572ecfc72a6273789496f78bc5e989e4d1638,305
0x911d086ef50a087b694d40ffa105b8a384a3275aa66ff4fa66e55da1ff91f6b3,184
0x8b639969c9a41ab89381df2c6adf41ab4f5bb1faf272a9ac883117f635e21cf8,17
0xcd1b6b71a1964f15e2c14809594cbfa0d576270e8ef94c8c24913121097e09e5,305
0xb92f22143e7b48609a82573fa8197dc73683a15acb467b0f51ee63da7e3f520b,304
0x9942056d5a5b46d26b266aedfcf1ed709c2aebc929d966b03ffba1251f9ee210,10
