question,start_date,end_date,video_title,video_url
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-11-27 00:00:03+00:00,2024-12-02 00:00:03+00:00,Trump tariffs will bring ‘severe storm’: former Mexican negotiator | Power &amp; Politics,https://www.youtube.com/watch?v=lFcjkXJ8UL8
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-11-27 00:00:03+00:00,2024-12-02 00:00:03+00:00,"How Mexico, Canada and China are reacting to Trump’s tariff threats",https://www.youtube.com/watch?v=ytcnFer58JA
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-11-27 00:00:03+00:00,2024-12-02 00:00:03+00:00,"Why Trump wants to tariff goods from Canada, China and Mexico",https://www.youtube.com/watch?v=Mqr8JmXWCyI
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-02 00:00:03+00:00,2024-12-07 00:00:03+00:00,Trump Tariffs Part 2 - Canada and Mexico || Peter Zeihan,https://www.youtube.com/watch?v=UrN56pQdAxI
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-02 00:00:03+00:00,2024-12-07 00:00:03+00:00,Trump&#39;s Tariff Threat Sparks Mexico-Canada Feud over Fentanyl and Border Crises | Firstpost America,https://www.youtube.com/watch?v=0YhdhLG_H8E
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-02 00:00:03+00:00,2024-12-07 00:00:03+00:00,Mexico and Canada Fight over Trump | Firstpost America,https://www.youtube.com/watch?v=RtvI0XXHOEA
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-07 00:00:03+00:00,2024-12-12 00:00:03+00:00,"Trump Floats Mexico, Canada As STATES",https://www.youtube.com/watch?v=4fX3rlJCXpM
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-07 00:00:03+00:00,2024-12-12 00:00:03+00:00,Trump Says Mexico and Trudeau&#39;s Canada Should Become US States to Avoid Trade War |Firstpost America,https://www.youtube.com/watch?v=YyVzx5bLiNA
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-07 00:00:03+00:00,2024-12-12 00:00:03+00:00,Trump jokes Canada and Mexico should become US states,https://www.youtube.com/watch?v=VUi7ddRGXX4
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-12 00:00:03+00:00,2024-12-17 00:00:03+00:00,Donald Trump responds to Doug Ford&#39;s threat to cut off energy amid looming tariffs,https://www.youtube.com/watch?v=akgRO7u6IU4
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-12 00:00:03+00:00,2024-12-17 00:00:03+00:00,What are tariffs and could Trump’s plans backfire? | Start Here,https://www.youtube.com/watch?v=kYNqTQ0zzew
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-12 00:00:03+00:00,2024-12-17 00:00:03+00:00,How Can Canada and Mexico Stop Trump&#39;s Trade Tariffs,https://www.youtube.com/watch?v=BfZkZ3IinuU
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-17 00:00:03+00:00,2024-12-22 00:00:03+00:00,Trump &amp; Tariffs #trump #tariffs #america #mexico #canada #trade #news,https://www.youtube.com/watch?v=f34z3AAf4ls
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-17 00:00:03+00:00,2024-12-22 00:00:03+00:00,Canadian official threatens to cut off energy to the United States,https://www.youtube.com/watch?v=IPpSWhXWY8g
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-17 00:00:03+00:00,2024-12-22 00:00:03+00:00,Trump&#39;s &#39;51st state&#39; taunts get mixed reaction in Canada,https://www.youtube.com/watch?v=KVdT3U9s8AI
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-22 00:00:03+00:00,2024-12-27 00:00:03+00:00,How Trump Plans to Deport 4% of the U.S. Population | WSJ,https://www.youtube.com/watch?v=eqPgAU1JRL4
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-22 00:00:03+00:00,2024-12-27 00:00:03+00:00,El presidente de Panamá  le responde a Trump por el Canal de Panamá,https://www.youtube.com/watch?v=dtGC0yGIbMs
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-22 00:00:03+00:00,2024-12-27 00:00:03+00:00,💥🤯கிரீன்லாந்தை வம்பிழுக்கும் டிரம்ப்..⁉️💢 #pandianexpress #shortsfeed #shorts #trump #greenland,https://www.youtube.com/watch?v=56oJ3LcE4UQ
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-27 00:00:03+00:00,2025-01-01 00:00:03+00:00,Why Trump Loves Tariffs Part 1 | Victor Davis Hanson,https://www.youtube.com/watch?v=WP0LyHGF6BY
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-27 00:00:03+00:00,2025-01-01 00:00:03+00:00,Trump&#39;s Tariffs &amp; Sanctions: Holding Mexico &amp; Canada Accountable,https://www.youtube.com/watch?v=YJOCfAGj2jY
Will Trump impose 25% tariff on Mexico or Canada before February?,2024-12-27 00:00:03+00:00,2025-01-01 00:00:03+00:00,Los aranceles de Trump podrían ser inflacionarios,https://www.youtube.com/watch?v=dXtnQbTfHfA
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-06 00:00:03+00:00,2025-01-11 00:00:03+00:00,"Trump answers questions about Canada, Greenland, Panama Canal, Gulf of Mexico",https://www.youtube.com/watch?v=8dBrBXQj0LI
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-06 00:00:03+00:00,2025-01-11 00:00:03+00:00,Trump says he plans to change Gulf of Mexico&#39;s name to &quot;Gulf of America&quot;,https://www.youtube.com/watch?v=DXj7HWem5fg
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-06 00:00:03+00:00,2025-01-11 00:00:03+00:00,"Trump&#39;s New Tariffs: How 25% on Canada, Mexico &amp; 10% on China Will Hit YOUR Wallet!",https://www.youtube.com/watch?v=WPz0KZsQdJ8
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-11 00:00:03+00:00,2025-01-16 00:00:03+00:00,Can Donald Trump actually rename the Gulf of Mexico?,https://www.youtube.com/watch?v=IRfKf08ZErk
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-11 00:00:03+00:00,2025-01-16 00:00:03+00:00,Will Donald Trump really take Canada and Greenland? | BBC Americast,https://www.youtube.com/watch?v=AgU6z8dM4iU
Will Trump impose 25% tariff on Mexico or Canada before February?,2025-01-11 00:00:03+00:00,2025-01-16 00:00:03+00:00,Why does Trump want to grab Greenland? Sky&#39;s Michael Clarke explains,https://www.youtube.com/watch?v=LJAxv1Y6Kcs
