question,date,yes_price,change_1d,change_3d,change_5d
Will Trump cut Ukraine off from Starlink?,2025-03-15,0.0025,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-14,0.004,0,0,0
Russia x Ukraine Ceasefire by Friday?,2025-03-14,0.0095,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-14,0.004,0,0,0
Will Trump issue an executive order on March 15?,2025-03-14,0.165,0,0,0
Will Trump issue an executive order on March 14?,2025-03-14,0.41,1,1,1
Russia x Ukraine Ceasefire by Friday?,2025-03-14,0.0095,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-14,0.004,0,0,0
Russia x Ukraine Ceasefire by Friday?,2025-03-14,0.0095,0,0,0
Will Trump pass a border/immigration law in first 100 days?,2025-03-13,0.685,0,1,1
Will Trump cut Ukraine off from Starlink?,2025-03-13,0.0035,1,0,0
Will Trump pass a border/immigration law in first 100 days?,2025-03-13,0.685,0,1,1
Russia x Ukraine Ceasefire by Friday?,2025-03-13,0.0205,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-13,0.0035,1,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-13,0.0035,1,0,0
Trump speaks to Carney by Friday?,2025-03-13,0.3,0,0,0
Will Trump's approval rating be less than 47.0% on March 14?,2025-03-13,0.0035,1,0,0
Will Trump's approval rating be between 48.0% and 48.4% on March 14?,2025-03-13,0.14,0,0,0
Will Trump's approval rating be between 47.0% and 47.4% on March 14?,2025-03-13,0.0465,1,0,0
Will Trump's approval rating be 49.0% or higher on March 14?,2025-03-13,0.004,0,0,0
Will Trump's approval rating be between 48.5% and 48.9% on March 14?,2025-03-13,0.004,0,0,0
Will Trump's approval rating be between 47.5% and 47.9% on March 14?,2025-03-13,0.755,0,1,1
Trump speaks to Carney by Friday?,2025-03-13,0.3,0,0,0
"Will Trump say ""Ireland"" 10+ times during his presser with Ireland PM?",2025-03-12,0.285,0,0,0
"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",2025-03-12,0.585,0,0,0
Russia x Ukraine Ceasefire by Friday?,2025-03-12,0.085,0,0,0
"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",2025-03-12,0.485,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-12,0.011,0,0,0
Russia x Ukraine Ceasefire by Friday?,2025-03-12,0.085,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-12,0.011,0,0,0
"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",2025-03-12,0.585,0,0,0
"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",2025-03-12,0.585,0,0,0
"Will Trump say ""Tax"" 5+ times during his presser with Ireland PM?",2025-03-12,0.195,0,0,0
"Will Trump say ""Heritage"" during his presser with Ireland PM?",2025-03-12,0.675,1,1,1
Will Trump issue an executive order on March 13?,2025-03-12,0.525,0,0,0
Will Trump pass a border/immigration law in first 100 days?,2025-03-12,0.73,0,1,1
"Will Trump say ""Crypto"" or ""Bitcoin"" during his presser with Ireland PM?",2025-03-12,0.06,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-12,0.011,0,0,0
"Will Trump say ""NATO"" 3+ times during his presser with Ireland PM?",2025-03-12,0.215,0,0,0
Will Trump issue an executive order on March 12?,2025-03-12,0.525,0,0,0
Will Trump cut Ukraine off from Starlink?,2025-03-12,0.011,0,0,0
"Will Trump say ""Zelenskyy"" during his presser with Ireland PM?",2025-03-12,0.56,0,0,0
Russia x Ukraine Ceasefire by Friday?,2025-03-12,0.085,0,0,0
"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",2025-03-12,0.485,0,0,0
"Will Trump say ""NATO"" 3+ times during his presser with Ireland PM?",2025-03-12,0.215,0,0,0
"Will Trump say ""Biden"" during his presser with Ireland PM?",2025-03-12,0.655,0,0,0
