title,url,matching_questions,similarity
Trump hints at Ukraine ceasefire after very good calls with Russia,https://www.youtube.com/watch?v=9cMPtIP1cF4,Will Trump cut Ukraine off from Starlink?,0.48044177889823914
Kevin OLeary: Heres where a Russia-Ukraine peace deal is going,https://www.youtube.com/watch?v=rnOaPIYM73I,Will Trump cut Ukraine off from Starlink?,0.42311686277389526
"Putin will delay Ukraine ceasefire until key goal achieved, says Gen. Keane",https://www.youtube.com/watch?v=ZWVjLeTLVQw,Russia x Ukraine Ceasefire by Friday?,0.6519861817359924
"Putin will delay Ukraine ceasefire until key goal achieved, says Gen. Keane",https://www.youtube.com/watch?v=ZWVjLeTLVQw,Will Trump cut Ukraine off from Starlink?,0.5307270884513855
'BETRAYAL': Schumer faces wrath of AOC after Dems' heated meeting,https://www.youtube.com/watch?v=FSKWDbnsF3Y,Will Trump issue an executive order on March 15?,0.4278615117073059
'BETRAYAL': Schumer faces wrath of AOC after Dems' heated meeting,https://www.youtube.com/watch?v=FSKWDbnsF3Y,Will Trump issue an executive order on March 14?,0.4260237514972687
NEW: Leaked document reveals Putin's long-term plan in Ukraine,https://www.youtube.com/watch?v=5YwPBkgLOWI,Russia x Ukraine Ceasefire by Friday?,0.4892556667327881
NEW: Leaked document reveals Putin's long-term plan in Ukraine,https://www.youtube.com/watch?v=5YwPBkgLOWI,Will Trump cut Ukraine off from Starlink?,0.4559865891933441
Mike Waltz shares what needs to happen to end Russia-Ukraine war,https://www.youtube.com/watch?v=daUuNz0D5o0,Russia x Ukraine Ceasefire by Friday?,0.43516457080841064
Dana Perino: These numbers are telling,https://www.youtube.com/watch?v=t6qGUf8t-AQ,Will Trump pass a border/immigration law in first 100 days?,0.4852696657180786
Trump holds meeting with NATO leader Mark Rutte,https://www.youtube.com/watch?v=BxmNYQiUzxE,Will Trump cut Ukraine off from Starlink?,0.48818814754486084
'COOKING THE BOOKS': ICE reveals bombshell findings on migrant arrests,https://www.youtube.com/watch?v=2yefA0BqOH4,Will Trump pass a border/immigration law in first 100 days?,0.4814823269844055
BREAKING: Russian forces advance in Ukraine ahead of ceasefire talks,https://www.youtube.com/watch?v=CFeZ3dpnlTY,Russia x Ukraine Ceasefire by Friday?,0.6184306144714355
BREAKING: Russian forces advance in Ukraine ahead of ceasefire talks,https://www.youtube.com/watch?v=CFeZ3dpnlTY,Will Trump cut Ukraine off from Starlink?,0.5315779447555542
Peter Doocy: The Russians are ready to talk,https://www.youtube.com/watch?v=-_2tO8moB-E,Will Trump cut Ukraine off from Starlink?,0.41442176699638367
"Fox News Highlights - March 12, 2025",https://www.youtube.com/watch?v=X3DLdvhc0cQ,Trump speaks to Carney by Friday?,0.4234430193901062
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be less than 47.0% on March 14?,0.4380168914794922
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be between 48.0% and 48.4% on March 14?,0.43232178688049316
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be between 47.0% and 47.4% on March 14?,0.43227535486221313
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be 49.0% or higher on March 14?,0.4237426519393921
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be between 48.5% and 48.9% on March 14?,0.4231283664703369
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be between 47.5% and 47.9% on March 14?,0.42059409618377686
Laura Ingraham: This is good news,https://www.youtube.com/watch?v=y2k5JKP5qgA,Trump speaks to Carney by Friday?,0.42026010155677795
Trump mocks Rosie O'Donnell in meeting with Ireland's PM: 'Better off' not knowing her,https://www.youtube.com/watch?v=4L2K5emEfsQ,"Will Trump say ""Ireland"" 10+ times during his presser with Ireland PM?",0.45063725113868713
Peter Doocy: Things are changing very quickly,https://www.youtube.com/watch?v=8_B6gV6HEVY,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.544681966304779
'UP TO PUTIN': World awaits Russia response after Ukraine agrees to ceasefire,https://www.youtube.com/watch?v=8TTpRLwFy0c,Russia x Ukraine Ceasefire by Friday?,0.7051097750663757
'UP TO PUTIN': World awaits Russia response after Ukraine agrees to ceasefire,https://www.youtube.com/watch?v=8TTpRLwFy0c,"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",0.5502881407737732
'UP TO PUTIN': World awaits Russia response after Ukraine agrees to ceasefire,https://www.youtube.com/watch?v=8TTpRLwFy0c,Will Trump cut Ukraine off from Starlink?,0.537357747554779
Secretary Rubio speaks after Ukraine negotiations,https://www.youtube.com/watch?v=v8h-iFOLQvc,Russia x Ukraine Ceasefire by Friday?,0.5247974395751953
Secretary Rubio speaks after Ukraine negotiations,https://www.youtube.com/watch?v=v8h-iFOLQvc,Will Trump cut Ukraine off from Starlink?,0.43517211079597473
Karoline Leavitt: Trump will not tolerate siding with 'radical Islamic terrorists',https://www.youtube.com/watch?v=Fx5iwDbX1Y8,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.4410687983036041
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.6759804487228394
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,"Will Trump say ""Tax"" 5+ times during his presser with Ireland PM?",0.49046847224235535
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,"Will Trump say ""Heritage"" during his presser with Ireland PM?",0.4236752986907959
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,Will Trump issue an executive order on March 13?,0.42291462421417236
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,Will Trump pass a border/immigration law in first 100 days?,0.41927048563957214
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,"Will Trump say ""Crypto"" or ""Bitcoin"" during his presser with Ireland PM?",0.41855382919311523
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,Will Trump cut Ukraine off from Starlink?,0.41168272495269775
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,"Will Trump say ""NATO"" 3+ times during his presser with Ireland PM?",0.4092999994754791
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,Will Trump issue an executive order on March 12?,0.4069254398345947
Gen. Jack Keane: Zelenskyy certainly changed his position,https://www.youtube.com/watch?v=0APgKFiU87g,Will Trump cut Ukraine off from Starlink?,0.5233379602432251
Gen. Jack Keane: Zelenskyy certainly changed his position,https://www.youtube.com/watch?v=0APgKFiU87g,"Will Trump say ""Zelenskyy"" during his presser with Ireland PM?",0.5114216804504395
Gen. Jack Keane: Zelenskyy certainly changed his position,https://www.youtube.com/watch?v=0APgKFiU87g,Russia x Ukraine Ceasefire by Friday?,0.49714648723602295
Gen. Jack Keane: Zelenskyy certainly changed his position,https://www.youtube.com/watch?v=0APgKFiU87g,"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",0.4912700057029724
Gen. Jack Keane: Zelenskyy certainly changed his position,https://www.youtube.com/watch?v=0APgKFiU87g,"Will Trump say ""NATO"" 3+ times during his presser with Ireland PM?",0.40774422883987427
Sean Hannity: We are closer to peace in Europe thanks to Trump,https://www.youtube.com/watch?v=VW-TxK0xMYg,"Will Trump say ""Biden"" during his presser with Ireland PM?",0.44470998644828796
Sean Hannity: We are closer to peace in Europe thanks to Trump,https://www.youtube.com/watch?v=VW-TxK0xMYg,"Will Trump say ""NATO"" 3+ times during his presser with Ireland PM?",0.4370220899581909
Sean Hannity: We are closer to peace in Europe thanks to Trump,https://www.youtube.com/watch?v=VW-TxK0xMYg,"Will Trump say ""Zelenskyy"" during his presser with Ireland PM?",0.4306860566139221
Sean Hannity: We are closer to peace in Europe thanks to Trump,https://www.youtube.com/watch?v=VW-TxK0xMYg,"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",0.425057977437973
Sean Hannity: We are closer to peace in Europe thanks to Trump,https://www.youtube.com/watch?v=VW-TxK0xMYg,"Will Trump say ""Trans"" during his presser with Ireland PM?",0.4207149147987366
Sean Hannity: We are closer to peace in Europe thanks to Trump,https://www.youtube.com/watch?v=VW-TxK0xMYg,"Will Trump say ""Israel"" during his presser with Ireland PM?",0.41726547479629517
TRUMP TRIES TESLA: President takes the drivers seat in support of Musk,https://www.youtube.com/watch?v=FX7Lw7YtJzE,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.4079495370388031
Tesla arrives at White House as Trump vows to buy one to support Musk,https://www.youtube.com/watch?v=18G67ybXL8k,Price of eggs goes up in Trump's first month?,0.4016219973564148
Karoline Leavitt holds briefing as Trump threatens more tariffs,https://www.youtube.com/watch?v=7tqM7rWMoB0,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.4211884140968323
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,25% steel tariff in effect before May?,0.6103355288505554
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.6041029691696167
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,25% aluminum tariff in effect before May?,0.6038544178009033
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,Will Trump issue an executive order on March 11?,0.44784244894981384
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,Will Trump issue an executive order on March 12?,0.4381358027458191
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,Will Trump pass a border/immigration law in first 100 days?,0.40664535760879517
CNN analyst sounds major alarm to Democrats,https://www.youtube.com/watch?v=5loLRuJiwug,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.4213203191757202
"Fox News Highlights - March 10, 2025",https://www.youtube.com/watch?v=x3M9OVdnNu0,Will Trump pass a border/immigration law in first 100 days?,0.4019507169723511
Trump reveals hopeful update on intel pause on Ukraine,https://www.youtube.com/watch?v=QUk_r3ZXHaI,Will Lisa Murkowski vote to confirm Lori Chavez-DeRemer as Secretary of Labor?,0.4299677610397339
Trump reveals hopeful update on intel pause on Ukraine,https://www.youtube.com/watch?v=QUk_r3ZXHaI,Will Susan Collins vote to confirm Lori Chavez-DeRemer as Secretary of Labor?,0.4206109941005707
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Donald Trump sign 5-9 executive orders in March?,0.42728105187416077
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's approval rating be 49.0% or higher on March 14?,0.42534106969833374
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's approval rating be between 47.5% and 47.9% on March 14?,0.4200223982334137
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's 538 approval rating be 48.5% or higher on March 7?,0.4194275140762329
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's 538 approval rating be between 46.5% and 46.9% on March 7?,0.41774827241897583
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's approval rating be between 48.5% and 48.9% on March 14?,0.41698360443115234
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's 538 approval rating be between 47.5% and 47.9% on March 7?,0.4127567410469055
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump post 100-109 times on Truth March 7-14?,0.41255372762680054
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's 538 approval rating be less than 46.5% on March 7?,0.4119850993156433
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's approval rating be between 47.0% and 47.4% on March 14?,0.41094616055488586
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's approval rating be less than 47.0% on March 14?,0.41034597158432007
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's approval rating be between 48.0% and 48.4% on March 14?,0.406309574842453
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's 538 approval rating be between 47.0% and 47.4% on March 7?,0.40608546137809753
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump's 538 approval rating be between 48.0% and 48.4% on March 7?,0.4029671549797058
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump post 130-139 times on Truth March 7-14?,0.4025024473667145
"GOP is now the party of 'yes we can,' journalist argues",https://www.youtube.com/watch?v=kvr35QFHC_g,Will Trump invite the Philadelphia Eagles to the White House?,0.4016752243041992
Ukraine lawmaker: We cant survive without America,https://www.youtube.com/watch?v=ycPt2X7KF1k,Will Trump cut Ukraine off from Starlink?,0.41723597049713135
GOP senator warns against pulling plug on Ukraine: 'It'll be worse than Afghanistan',https://www.youtube.com/watch?v=W2M9CqL-w3Y,Will Trump cut Ukraine off from Starlink?,0.49841055274009705
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump issue an executive order on March 9?,0.4814527630805969
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Donald Trump sign 5-9 executive orders in March?,0.4456503391265869
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump post 130-139 times on Truth March 7-14?,0.43438011407852173
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump post 110-119 times on Truth March 7-14?,0.43345189094543457
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump post 100-109 times on Truth March 7-14?,0.42922794818878174
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump post 150 or more times on Truth March 7-14?,0.42666274309158325
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump's approval rating be less than 47.0% on March 14?,0.42611363530158997
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump post 120-129 times on Truth March 7-14?,0.4235191345214844
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump post 140-149 times on Truth March 7-14?,0.41892188787460327
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump invite the Philadelphia Eagles to the White House?,0.41846963763237
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump's approval rating be between 47.0% and 47.4% on March 14?,0.4181896448135376
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump's approval rating be between 47.5% and 47.9% on March 14?,0.41719380021095276
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump's approval rating be 49.0% or higher on March 14?,0.4166158437728882
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump post 80-89 times on Truth March 7-14?,0.4151609241962433
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump meet with either Tate brother by next Sunday?,0.40884026885032654
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump post 60-69 times on Truth March 7-14?,0.40458953380584717
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump post 70-79 times on Truth March 7-14?,0.40395408868789673
"Karoline Leavitt slams 'pitiful' Rubio, Musk rumors",https://www.youtube.com/watch?v=RsnnKeboqCc,Will Trump post 50-59 times on Truth March 7-14?,0.40366262197494507
Trump tells Russia to GET TO THE TABLE ahead of US-Ukraine negotiations in Saudi Arabia,https://www.youtube.com/watch?v=l5GkEWXZ-4E,Will Trump cut Ukraine off from Starlink?,0.49536800384521484
Kevin OLeary: This is a signal for crypto,https://www.youtube.com/watch?v=QmIQ0wKEkKU,Will Donald Trump sign 5-9 executive orders in March?,0.4861212968826294
Kevin OLeary: This is a signal for crypto,https://www.youtube.com/watch?v=QmIQ0wKEkKU,Will Trump issue an executive order on March 5?,0.4803102910518646
Kevin OLeary: This is a signal for crypto,https://www.youtube.com/watch?v=QmIQ0wKEkKU,Will Trump issue an executive order on March 8?,0.47818639874458313
Kevin OLeary: This is a signal for crypto,https://www.youtube.com/watch?v=QmIQ0wKEkKU,Will Trump issue an executive order on March 9?,0.47673413157463074
Kevin OLeary: This is a signal for crypto,https://www.youtube.com/watch?v=QmIQ0wKEkKU,Will Trump invite the Philadelphia Eagles to the White House?,0.4169858694076538
