question,date,yes_price,no_price
Trump and Harris agree to Fox News debate?,2024-10-01,0.0915,0.9085
Will RFK Jr. debate Biden/Trump?,2024-10-01,0.0175,0.9825
Will there be another debate?,2024-10-01,0.33,0.67
Trump positive favorability on March 1?,2025-01-24,0.335,0.665
Will Trump sanction Russia before March?,2025-01-24,0.255,0.745
Trump positive favorability on February 1?,2025-01-24,0.165,0.835
Trump cryptocurrency executive order in first week?,2025-01-24,0.31,0.69
Will Donald Trump issue 100 or more executive orders in his first week?,2025-01-24,0.006,0.994
Will Trump sign a bill into law in his first week?,2025-01-24,0.805,0.195
Trump positive favorability on March 1?,2025-02-12,0.17,0.83
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-11-03,0.3005,0.6995
Trump eligible to vote in the election?,2024-11-03,0.9505,0.0495
"Will Trump say ""women's sports"" during Virginia rally on Nov 2?",2024-11-03,0.94,0.06
Trump claims victory before AP calls the election?,2024-11-03,0.825,0.175
Will Donald Trump win the 2024 US Presidential Election?,2024-11-03,0.5915,0.4085
Trump wins Pennsylvania but loses the Election?,2024-11-03,0.065,0.935
Winning candidate also wins popular vote?,2024-11-03,0.69,0.31
Donald & Melania Trump divorce before election?,2024-10-09,0.051,0.949
Trump nominates Elon Musk to Cabinet?,2024-10-09,0.135,0.865
Trump nominates RFK Jr. to Cabinet?,2024-10-09,0.205,0.795
Will Trump tweet 15-19 times October 4-11?,2024-10-09,0.33,0.67
Will Trump post 100-119 times on Truth Feb 21-28?,2025-02-27,0.325,0.675
Will Trump post 160-179 times on Truth Feb 21-28?,2025-02-27,0.055,0.945
Will Trump post 220-239 times on Truth Feb 21-28?,2025-02-27,0.008,0.992
Will Trump post 180-199 times on Truth Feb 21-28?,2025-02-27,0.026,0.974
Will Trump post 140-159 times on Truth Feb 21-28?,2025-02-27,0.21,0.79
Will Trump post less than 100 times on Truth Feb 21-28?,2025-02-27,0.0055,0.9945
Will Trump post 120-139 times on Truth Feb 21-28?,2025-02-27,0.41,0.59
Will Trump post 200-219 times on Truth Feb 21-28?,2025-02-27,0.008,0.992
Trump and Harris agree to Fox News debate?,2024-10-08,0.036,0.964
Kamala flips a 2020 Trump state?,2024-10-08,0.425,0.575
Will Kamala Harris win the 2024 US Presidential Election?,2024-10-08,0.4515,0.5485
Will RFK Jr. debate Biden/Trump?,2024-10-08,0.0135,0.9865
Trump fires campaign manager?,2024-10-08,0.075,0.925
