question,date,yes_price,change_1d,change_3d,change_5d
Trump and Harris agree to Fox News debate?,2024-10-01,0.083,1,-1,-1
Will RFK Jr. debate Biden/Trump?,2024-10-01,0.0175,0,0,-1
Will there be another debate?,2024-10-01,0.33,1,-1,-1
Trump positive favorability on March 1?,2025-01-24,0.345,-1,-1,-1
Will Trump sanction Russia before March?,2025-01-24,0.24,-1,-1,-1
Trump positive favorability on February 1?,2025-01-24,0.19,-1,-1,-1
Trump cryptocurrency executive order in first week?,2025-01-24,0.9995,0,0,0
Will Donald Trump issue 100 or more executive orders in his first week?,2025-01-24,0.0045,-1,-1,-1
Will Trump sign a bill into law in his first week?,2025-01-24,0.825,-1,-1,-1
Trump positive favorability on March 1?,2025-02-12,0.18,-1,-1,-1
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-11-03,0.2585,-1,1,1
Trump eligible to vote in the election?,2024-11-03,0.8515,1,1,1
"Will Trump say ""women's sports"" during Virginia rally on Nov 2?",2024-11-03,0.9995,0,0,0
Trump claims victory before AP calls the election?,2024-11-03,0.78,-1,-1,-1
Will Donald Trump win the 2024 US Presidential Election?,2024-11-03,0.5585,1,1,1
Trump wins Pennsylvania but loses the Election?,2024-11-03,0.075,1,1,-1
Winning candidate also wins popular vote?,2024-11-03,0.685,0,-1,1
Donald & Melania Trump divorce before election?,2024-10-09,0.022,1,1,0
Trump nominates Elon Musk to Cabinet?,2024-10-09,0.135,1,0,0
Trump nominates RFK Jr. to Cabinet?,2024-10-09,0.205,1,-1,-1
Will Trump tweet 15-19 times October 4-11?,2024-10-09,0.25,-1,-1,-1
Will Trump post 100-119 times on Truth Feb 21-28?,2025-02-27,0.085,1,1,1
Will Trump post 160-179 times on Truth Feb 21-28?,2025-02-27,0.05,-1,-1,-1
Will Trump post 220-239 times on Truth Feb 21-28?,2025-02-27,0.0035,-1,-1,-1
Will Trump post 180-199 times on Truth Feb 21-28?,2025-02-27,0.029,-1,-1,-1
Will Trump post 140-159 times on Truth Feb 21-28?,2025-02-27,0.19,-1,-1,-1
Will Trump post less than 100 times on Truth Feb 21-28?,2025-02-27,0.0005,0,0,0
Will Trump post 120-139 times on Truth Feb 21-28?,2025-02-27,0.55,1,1,1
Will Trump post 200-219 times on Truth Feb 21-28?,2025-02-27,0.008,-1,-1,-1
Trump and Harris agree to Fox News debate?,2024-10-08,0.0295,1,-1,-1
Kamala flips a 2020 Trump state?,2024-10-08,0.415,-1,-1,-1
Will Kamala Harris win the 2024 US Presidential Election?,2024-10-08,0.4575,1,-1,-1
Will RFK Jr. debate Biden/Trump?,2024-10-08,0.0125,-1,-1,-1
Trump fires campaign manager?,2024-10-08,0.065,-1,-1,-1
Will Joe Biden endorse Donald Trump?,2024-10-08,0.0125,-1,1,-1
Trump and Harris agree to Fox News debate?,2024-10-03,0.072,-1,-1,-1
Donald & Melania Trump divorce before election?,2024-10-03,0.0195,1,-1,1
Will Trump mention $MAGA before Election?,2024-10-03,0.06,0,0,0
Will Biden pardon Trump?,2024-10-24,0.057,0,1,1
Donald & Melania Trump divorce before election?,2024-10-24,0.0145,-1,-1,-1
"Will Donald Trump say ""Putin"" during Super Bowl pregame interview?",2025-02-09,0.3,-1,-1,-1
"Will Donald Trump say ""Border"" 5+ times during Super Bowl pregame interview?",2025-02-09,0.14,-1,-1,-1
"Will Donald Trump say ""Russia"" 2+ times during Super Bowl pregame interview?",2025-02-09,0.415,-1,-1,-1
"Will Donald Trump say ""Biden"" during Super Bowl pregame interview?",2025-02-09,0.265,-1,-1,-1
Will Donald Trump be shown 3-5 times at the Super Bowl?,2025-02-09,0.355,1,-1,-1
Will Donald Trump be shown 12 or more times at the Super Bowl?,2025-02-09,0.045,1,1,1
Will Donald Trump be shown 6-8 times at the Super Bowl?,2025-02-09,0.18,1,-1,-1
"Will Donald Trump say ""Trudeau"" during Super Bowl pregame interview?",2025-02-09,0.065,-1,-1,-1
"Will Donald Trump say ""Eagles"" during Super Bowl pregame interview?",2025-02-09,0.305,-1,-1,-1
"Will Donald Trump say ""Patrick"" or ""Mahomes"" during Super Bowl pregame interview?",2025-02-09,0.235,-1,-1,-1
"Will Donald Trump say ""China"" 3+ times during Super Bowl pregame interview?",2025-02-09,0.295,-1,-1,-1
"Will Donald Trump say ""Chiefs"" during Super Bowl pregame interview?",2025-02-09,0.38,-1,-1,-1
Will Donald Trump be shown 0-2 times at the Super Bowl?,2025-02-09,0.345,-1,1,1
"Will Donald Trump say ""DOGE"" or ""Department of Governmental Efficiency"" during Super Bowl pregame interview?",2025-02-09,0.545,-1,-1,-1
Will Donald Trump be shown 9-11 times at the Super Bowl?,2025-02-09,0.075,1,1,1
"Will Donald Trump say ""Ukraine"" during Super Bowl pregame interview?",2025-02-09,0.48,-1,-1,-1
"Will Donald Trump say ""Trans"" during Super Bowl pregame interview?",2025-02-09,0.17,-1,-1,-1
"Will Donald Trump say ""Panama"" during Super Bowl pregame interview?",2025-02-09,0.155,-1,-1,-1
"Will Donald Trump say ""Greenland"" during Super Bowl pregame interview?",2025-02-09,0.07,-1,-1,-1
"Will Donald Trump say ""Bills"" during Super Bowl pregame interview?",2025-02-09,0.125,-1,-1,-1
"Will Donald Trump say ""Tariff"" 5+ times during Super Bowl pregame interview?",2025-02-09,0.09,-1,-1,-1
"Will Donald Trump say ""DEI"" or ""Diversity Equity and Inclusion"" during Super Bowl pregame interview?",2025-02-09,0.3,-1,-1,-1
"Will Donald Trump say ""Israel"" during Super Bowl pregame interview?",2025-02-09,0.45,-1,-1,-1
"Will Donald Trump say ""Elon"" or ""Musk"" during Super Bowl pregame interview?",2025-02-09,0.675,0,0,0
Will Mike Rogers be Trump's FBI director?,2025-02-09,0.0015,0,1,0
"Will Donald Trump say ""Taylor"" or ""Swift"" during Super Bowl pregame interview?",2025-02-09,0.06,-1,-1,-1
Trump and Taylor Swift shake hands at Super Bowl LIX?,2025-02-09,0.0405,-1,-1,-1
"Will Donald Trump say ""Hell"" 3+ times during Super Bowl pregame interview?",2025-02-09,0.08,0,0,0
"Will Trump and Elon say ""Billion"" 10 or more times during their Feb 18 interview?",2025-02-21,0.003,0,0,0
Will Trump meet with Keir Starmer in his first 100 days?,2025-02-21,0.9745,1,1,1
Will Elon talk more than Trump during Hannity interview?,2025-02-21,0.017,-1,-1,-1
Will Donald Trump be named in Epstein files?,2025-02-21,0.095,1,1,1
"Will Trump and Elon say ""Saudi Arabia"" during their Feb 18 interview?",2025-02-21,0.0035,0,0,0
Election certified on January 6?,2024-10-23,0.835,0,1,1
Trump eligible to vote in the election?,2024-10-23,0.9825,1,-1,-1
Trump-Vance Republican ticket on election day?,2024-10-23,0.985,1,1,1
Will the election be called on Nov 5?,2024-10-23,0.215,-1,1,1
Trump in jail before election day?,2024-10-23,0.013,1,1,-1
Will Trump lead in RCP on Oct 25?,2024-10-23,0.0315,1,1,1
"Will Trump say ""Vote"" 15 or more times during Georgia rally on October 23?",2024-10-23,0.69,-1,-1,-1
Trump election interference trial doesn't start before November?,2024-10-23,0.982,1,1,0
Will Donald Trump win the 2024 US Presidential Election?,2024-10-23,0.6475,-1,-1,1
Will Trump election interference trial start in September or October?,2024-10-23,0.0055,1,1,1
Trump and Harris agree to Fox News debate?,2024-10-12,0.0315,-1,-1,-1
"Will Trump say ""border"" 20 or more times during California rally on October 12?",2024-10-12,0.8,-1,-1,-1
"Will Trump say ""border"" 20 or more times during Arizona rally on October 13?",2024-10-12,0.91,-1,1,1
Will Trump tweet on inauguration day?,2025-01-16,0.855,-1,0,1
Trump ends Gaza war in first 100 days?,2025-01-16,0.9785,-1,0,0
Donald & Melania Trump divorce before election?,2024-10-18,0.014,-1,-1,-1
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-10-18,0.341,-1,-1,1
Will Donald Trump win the 2024 US Presidential Election?,2024-10-18,0.6185,-1,-1,1
Trump eligible to vote in the election?,2024-10-18,0.982,-1,-1,1
Trump-Vance Republican ticket on election day?,2024-10-18,0.9675,1,1,1
Trump fires campaign manager?,2024-10-14,0.045,-1,-1,-1
"Will Trump say ""Hezbollah"" during North Carolina town hall?",2024-10-04,0.445,1,1,1
"Will Trump say ""tax queen"" during North Carolina town hall?",2024-10-04,0.565,-1,-1,-1
"Will Trump say ""crypto"" or ""Bitcoin"" during North Carolina town hall?",2024-10-04,0.04,-1,-1,-1
"Will Trump say ""trans"" during North Carolina town hall?",2024-10-04,0.315,-1,-1,-1
"Will Trump say ""illegal alien"" during North Carolina town hall?",2024-10-04,0.655,1,1,1
