question,date,volatility_label_1d,volatility_label_3d,volatility_label_5d
25% steel tariff in effect before May?,2025-03-11T14:27:38Z,0,0,0
25% aluminum tariff in effect before May?,2025-03-11T14:27:38Z,0,0,0
Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,2025-03-06T17:39:16Z,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-06T12:45:09Z,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-05T16:15:02Z,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T22:30:03Z,0,0,0
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T13:15:04Z,0,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T12:00:43Z,0,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T10:30:22Z,0,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T02:00:16Z,0,1,1
Trump announces cutting all military aid to Ukraine aid before April?,2025-03-04T00:11:12Z,0,1,1
Trump tariffs on Mexico in effect by May 1?,2025-03-03T01:30:04Z,0,1,1
Will Trump increase tariffs on China before May?,2025-03-03T01:30:04Z,0,1,1
Will FBI send Pam Bondi the full Epstein files by Friday?,2025-02-28T10:15:05Z,0,1,1
Will FBI send Pam Bondi the full Epstein files by Friday?,2025-02-28T10:15:05Z,0,1,1
Will Trump meet with Zelenskyy before July?,2025-02-26T13:15:08Z,0,0,0
Will Trump meet with Volodymyr Zelenskyy in 2025?,2025-02-26T13:15:08Z,0,0,0
Will Trump meet with Volodymyr Zelenskyy in his first 100 days?,2025-02-26T13:15:08Z,0,0,0
Trump declassifies Epstein list in first 100 days?,2025-02-22T17:00:26Z,0,1,1
Will Trump halt NYC congestion pricing before April?,2025-02-21T19:00:42Z,0,0,1
Will Trump halt NYC congestion pricing before April?,2025-02-20T14:30:04Z,0,0,0
Will Trump list the Sinaloa Cartel as a terrorist organization before April?,2025-02-19T16:15:06Z,0,1,0
Will Trump list the Tren de Aragua as a terrorist organization before April?,2025-02-19T16:15:06Z,0,0,0
Will Trump list the Gulf Cartel as a terrorist organization before April?,2025-02-19T16:15:06Z,0,1,0
Will fewer than 50k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,0,0
Will 500k or more federal employees accept the buyout?,2025-02-13T21:00:08Z,0,0,1
Will 150-200k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 200-250k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 350-400k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will 450-500k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,0,0
Will 400-450k federal employees accept the buyout?,2025-02-13T21:00:08Z,0,1,1
Will Tulsi Gabbard be Trump’s Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Will Mitch McConnell vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,1,1
Will Cynthia Lummis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Will Bill Cassidy vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Will Joni Ernst vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Tulsi Gabbard confirmed as Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Will John Fetterman vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,1,1
Will Susan Collins vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,0,0
Will Lisa Murkowski  vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,1,1
Will John Curtis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-11T12:45:06Z,0,1,1
Will fewer than 50k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 500k or more federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 450-500k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 150-200k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 200-250k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 350-400k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 400-450k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-11T09:45:04Z,0,1,1
Will Stephen Miller be Trump’s Director of National Intelligence?,2025-02-08T09:45:00Z,0,0,0
Elon Musk out as Head of DOGE before July?,2025-02-07T21:30:08Z,0,1,1
Will 500k or more federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will fewer than 50k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 150-200k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 350-400k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 450-500k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will 200-250k federal employees accept the buyout?,2025-02-07T20:00:18Z,0,1,1
Will fewer than 50k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 150-200k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 200-250k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 350-400k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 500k or more federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 450-500k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 400-450k federal employees accept the buyout?,2025-02-07T03:00:01Z,0,1,1
Will 300-350k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 350-400k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will fewer than 50k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 500k or more federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 100-150k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 250-300k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 150-200k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
Will 50-100k federal employees accept the buyout?,2025-02-06T18:45:06Z,0,1,1
