title,url,matching_questions,similarity,date,yes_price,change_1d,change_3d,change_5d
"Debate: CBS News 2024 Vice Presidential Debate with J.D. Vance and Tim Walz - October 1, 2024",https://player.vimeo.com/video/1015177244,Trump and Harris agree to Fox News debate?,0.4869897961616516,2024-10-01,0.083,1,0,0
"Debate: CBS News 2024 Vice Presidential Debate with J.D. Vance and Tim Walz - October 1, 2024",https://player.vimeo.com/video/1015177244,Will RFK Jr. debate Biden/Trump?,0.4334867596626282,2024-10-01,0.0175,0,0,0
"Debate: CBS News 2024 Vice Presidential Debate with J.D. Vance and Tim Walz - October 1, 2024",https://player.vimeo.com/video/1015177244,Will there be another debate?,0.4217592477798462,2024-10-01,0.33,1,0,0
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Trump positive favorability on March 1?,0.4953663945198059,2025-01-24,0.345,0,0,0
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Will Trump sanction Russia before March?,0.4506239891052246,2025-01-24,0.24,0,0,0
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Trump positive favorability on February 1?,0.4163892865180969,2025-01-24,0.19,0,0,0
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Trump cryptocurrency executive order in first week?,0.4122686684131622,2025-01-24,0.9995,0,0,0
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Will Donald Trump issue 100 or more executive orders in his first week?,0.4110815525054931,2025-01-24,0.0045,0,0,0
"Donald Trump Vlog: March for Life - January 24, 2025",https://player.vimeo.com/video/1050197048,Will Trump sign a bill into law in his first week?,0.4017358422279358,2025-01-24,0.825,0,0,0
"Donald Trump Vlog: Message to Jordanian People - February 12, 2025",https://player.vimeo.com/video/1056201939,Trump positive favorability on March 1?,0.4033552408218384,2025-02-12,0.18,0,0,0
"Donald Trump Vlog: Two Days Before Election - November 3, 2024",https://player.vimeo.com/video/1041734469,Will Donald Trump win the popular vote in the 2024 Presidential Election?,0.4557344615459442,2024-11-03,0.2585,0,1,1
"Donald Trump Vlog: Two Days Before Election - November 3, 2024",https://player.vimeo.com/video/1041734469,Trump eligible to vote in the election?,0.4469094276428222,2024-11-03,0.8515,1,1,1
"Donald Trump Vlog: Two Days Before Election - November 3, 2024",https://player.vimeo.com/video/1041734469,"Will Trump say ""women's sports"" during Virginia rally on Nov 2?",0.4374124109745025,2024-11-03,0.9995,0,0,0
