title,url,matching_questions,similarity,yes_price,change_1d,change_3d,change_5d
Watch Putin's remarks about possible ceasefire deal with Ukraine,https://www.youtube.com/watch?v=V0gSZ6_Vg8g,Russia x Ukraine Ceasefire by Friday?,0.6983194351196289,0.0205,0,0,0
Senator shares what GOP did after Musk called him 'traitor',https://www.youtube.com/watch?v=YTWsXB1hB80,Russia x Ukraine Ceasefire by Friday?,0.7126490473747253,0.085,0,0,0
Trump delays tariffs on Mexico until April,https://www.youtube.com/watch?v=GmRsuVTMqOw,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.7267962098121643,0.9605,1,1,1
What a mess President Trump has created': Canadian official on tariffs,https://www.youtube.com/watch?v=MA7P-clemb8,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.7576974630355835,0.9605,1,1,1
'We're going to get decapitalized really quick': Distributor voices concerns over Trump's tariffs,https://www.youtube.com/watch?v=XhZhikdWo9U,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.6605033874511719,0.9605,1,1,1
"Zelensky describes Oval Office meeting as regrettable,' says he is ready to negotiate peace",https://www.youtube.com/watch?v=T5KEIrrUvVo,Trump announces cutting all military aid to Ukraine aid before April?,0.6913883686065674,0.63,1,1,1
"Zelensky describes Oval Office meeting as regrettable,' says he is ready to negotiate peace",https://www.youtube.com/watch?v=T5KEIrrUvVo,Trump admin announces cutting Ukraine aid by Friday?,0.6561528444290161,0.885,1,1,1
Vindman on Zelensky clash: JD Vance wasn't ready for the 'big boy table',https://www.youtube.com/watch?v=l70qUYUH7sI,Will Zelenskyy apologize to Trump by Sunday?,0.6412588357925415,0.195,0,0,0
Rubio points finger at Zelensky for breakdown of Trump meeting,https://www.youtube.com/watch?v=d1-bnv0YWbc,Will Zelenskyy apologize to Trump by Sunday?,0.7432191371917725,0.195,0,0,0
King Charles sends a letter to President Trump,https://www.youtube.com/watch?v=oXIi896XSIM,Will Trump meet with Keir Starmer in 2025?,0.6142733097076416,0.9975,1,1,1
"US and Ukraine agree to terms on natural resources and reconstruction, official says",https://www.youtube.com/watch?v=7qYwOr4jgnI,Will Trump meet with Zelenskyy before July?,0.6675131320953369,0.9835,1,1,1
Mitch McConnell explains why he voted against RFK Jr.'s nomination,https://www.youtube.com/watch?v=AFahxcFtqjE,Bernie Sanders votes to confirm RFK Jr?,0.631111741065979,0.0025,0,0,0
Canada's Freeland vows to target Trump constituencies with retaliatory tariffs,https://www.youtube.com/watch?v=jtSyb099ovE,Trump tariffs on Canada in effect by May 1?,0.6638869047164917,0.355,0,1,1
Canada's Freeland vows to target Trump constituencies with retaliatory tariffs,https://www.youtube.com/watch?v=jtSyb099ovE,Will Trump remove tariff on Canada before March?,0.6444602012634277,0.09,1,1,1
Zakaria warns there's a real cost to Trump's head-spinning moves,https://www.youtube.com/watch?v=P1re1D6Nz58,Trump tariffs on Canada in effect by May 1?,0.6266050338745117,0.285,1,1,1
Honig: Trump using same theory with federal workers that he used to 'stiff' real estate contractors,https://www.youtube.com/watch?v=R44rizaY7xQ,Will fewer than 50k federal employees accept the buyout?,0.7428732514381409,0.0345,0,1,1
