title,url,matching_questions,similarity,yes_price,change_1d,change_3d,change_5d,upload_date
"Putin will delay Ukraine ceasefire until key goal achieved, says Gen. Keane",https://www.youtube.com/watch?v=ZWVjLeTLVQw,Russia x Ukraine Ceasefire by Friday?,0.6519861817359924,0.0095,-1,-1,-1,2025-03-14T13:45:03Z
BREAKING: Russian forces advance in Ukraine ahead of ceasefire talks,https://www.youtube.com/watch?v=CFeZ3dpnlTY,Russia x Ukraine Ceasefire by Friday?,0.6184306144714355,0.0205,-1,-1,-1,2025-03-13T15:30:05Z
'UP TO PUTIN': World awaits Russia response after Ukraine agrees to ceasefire,https://www.youtube.com/watch?v=8TTpRLwFy0c,Russia x Ukraine Ceasefire by Friday?,0.7051097750663757,0.085,-1,-1,-1,2025-03-12T13:45:00Z
"NEW: Canadian leader apologizes, walks back electricity tariff after Trump threat",https://www.youtube.com/watch?v=98zWu5sKqvA,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.6759804487228394,0.585,-1,-1,-1,2025-03-12T10:00:17Z
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,25% steel tariff in effect before May?,0.6103355288505554,0.959,0,0,0,2025-03-11T14:27:38Z
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",0.6041029691696167,0.375,1,-1,-1,2025-03-11T14:27:38Z
BREAKING: Trump slaps additional tariffs on Canada,https://www.youtube.com/watch?v=WHSIGiAd3vI,25% aluminum tariff in effect before May?,0.6038544178009033,0.9585,1,1,1,2025-03-11T14:27:38Z
BREAKING: Trump suspends most new tariffs on Mexico,https://www.youtube.com/watch?v=b_w1zkS9o3E,Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,0.6255674362182617,0.9605,1,1,1,2025-03-06T17:39:16Z
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,Trump announces cutting all military aid to Ukraine aid before April?,0.6209406852722168,0.998,1,1,1,2025-03-06T12:45:09Z
Trump to revoke legal status of 240K+ Ukrainians who fled to the US: Report,https://www.youtube.com/watch?v=sS4S-oXqcow,Trump admin announces cutting Ukraine aid by Friday?,0.6017986536026001,0.998,1,1,1,2025-03-06T12:45:09Z
